trait	chr	pos	QTL_Type	logP_AD	DGE_chr	DGE_start	DGE_end
gnl.UG.Ssc.S35172975	11	65567087	overdominant	4.96 	1	159812539	159863503
gnl.UG.Ssc.S35169682	3	132525248	partial-dominant	41.09 	GL894404.1	6996	13088
OVRM1_0108_B08	16	84383051	overdominant	5.10 	NA	NA	NA
gnl.UG.Ssc.S39785987	8	42283909	dominant	4.65 	NA	NA	NA
gnl.UG.Ssc.S46880489	5	55276345	overdominant	4.91 	1	124961867	125109541
gnl.UG.Ssc.S18548805	18	35903011	additive	62.18 	18	35904425	35907118
gnl.UG.Ssc.S5999093	8	63119376	overdominant	4.64 	11	86377301	86424896
DCI01_0022_H12	10	56359857	overdominant	4.72 	NA	NA	NA
gnl.UG.Ssc.S23769376	3	62521265	overdominant	12.00 	NA	NA	NA
gnl.UG.Ssc.S29979787	12	60002492	overdominant	4.52 	NA	NA	NA
gnl.UG.Ssc.S31131302	9	26578970	overdominant	5.06 	2	119133755	119310270
gnl.UG.Ssc.S19545848	17	20690224	overdominant	5.22 	NA	NA	NA
gnl.UG.Ssc.S40003640	11	53388276	overdominant	4.70 	NA	NA	NA
MLTL1_0006_E10	8	120478160	overdominant	4.59 	4	88441595	88460670
gnl.UG.Ssc.S18360063	12	25006232	overdominant	4.50 	14	117602612	117670613
OVRM1_0003_G07	18	51012467	overdominant	5.54 	NA	NA	NA
MLN01_0034_C02	18	13716443	overdominant	6.85 	NA	NA	NA
gnl.UG.Ssc.S35164113	3	120687827	overdominant	4.69 	14	78211062	78215931
gnl.UG.Ssc.S23213146	3	105829952	overdominant	4.67 	NA	NA	NA
ADR01_0039_D08	3	28886788	overdominant	4.67 	NA	NA	NA
gnl.UG.Ssc.S40551167	11	46616903	overdominant	5.47 	9	72513391	72556777
gnl.UG.Ssc.S40178068	9	49096098	partial-dominant	22.83 	NA	NA	NA
gnl.UG.Ssc.S18943248	15	39342514	dominant	4.62 	GL896203.1	206	3526
gnl.UG.Ssc.S40310719	11	14630959	dominant	4.55 	NA	NA	NA
gnl.UG.Ssc.S27601215	14	12858245	overdominant	5.32 	NA	NA	NA
gnl.UG.Ssc.S35165118	11	21097381	overdominant	5.69 	3	18363271	18376614
gnl.UG.Ssc.S34498339	1	310131835	partial-dominant	9.34 	NA	NA	NA
gnl.UG.Ssc.S40006091	6	65940489	overdominant	4.77 	NA	NA	NA
gnl.UG.Ssc.S18301441	13	187235821	dominant	5.55 	NA	NA	NA
gnl.UG.Ssc.S41350327	15	151027575	overdominant	4.63 	9	116890800	116931198
LNG01_0077_A05	3	67686997	overdominant	5.40 	GL896268.1	5923	13763
gnl.UG.Ssc.S35164189	8	17190050	dominant	4.70 	2	142573815	142576117
gnl.UG.Ssc.S19537373	12	62262840	overdominant	4.65 	NA	NA	NA
gnl.UG.Ssc.S18354245	8	79410102	overdominant	4.72 	NA	NA	NA
gnl.UG.Ssc.S46879630	5	60936295	dominant	4.50 	4	97103619	97113988
gnl.UG.Ssc.S35166623	2	12605988	dominant	5.17 	GL892933.2	157544	158192
gnl.UG.Ssc.S31102841	9	52759182	overdominant	5.07 	NA	NA	NA
gnl.UG.Ssc.S46879553	7	107307147	dominant	4.55 	4	45690145	45730412
LNG01_0069_H12	1	39654732	overdominant	5.48 	NA	NA	NA
gnl.UG.Ssc.S40223437	17	15727681	dominant	4.75 	2	124337483	124368895
gnl.UG.Ssc.S19542612	3	109118738	overdominant	12.15 	3	107748915	107754802
gnl.UG.Ssc.S43678675	10	63377069	overdominant	4.65 	2	10456909	10466210
gnl.UG.Ssc.S35164034	2	123502732	dominant	4.65 	13	32073761	32093038
OVRM1_0106_C08	6	93072237	dominant	4.80 	15	36646556	36697791
gnl.UG.Ssc.S20116712	10	50418539	overdominant	5.23 	12	19231261	19247926
PCT01_0016_H05	7	111778824	overdominant	4.74 	NA	NA	NA
SMG01_0017_C09	7	127042709	dominant	4.59 	11	77342232	77451329
gnl.UG.Ssc.S31121517	16	50786940	overdominant	5.34 	NA	NA	NA
gnl.UG.Ssc.S26722901	15	151574724	overdominant	4.78 	NA	NA	NA
gnl.UG.Ssc.S35165596	17	65864823	overdominant	5.65 	3	119084107	119135331
gnl.UG.Ssc.S35170501	15	57255533	overdominant	4.59 	8	34048456	34405243
gnl.UG.Ssc.S35168940	2	2631862	overdominant	4.67 	8	108446594	108489287
gnl.UG.Ssc.S40500660	17	48876667	overdominant	5.08 	7	42386237	42387203
gnl.UG.Ssc.S35164933	1	269092739	overdominant	5.30 	NA	NA	NA
gnl.UG.Ssc.S18555535	12	2979580	dominant	5.90 	16	23534142	23613770
gnl.UG.Ssc.S23756704	2	50269637	overdominant	5.66 	NA	NA	NA
ITT01_0056_A02	2	41179336	overdominant	4.57 	NA	NA	NA
gnl.UG.Ssc.S35165719	11	474939	additive	120.81 	11	533138	587204
gnl.UG.Ssc.S31117219	9	17308315	overdominant	5.46 	NA	NA	NA
gnl.UG.Ssc.S35170099	15	112258757	overdominant	4.53 	NA	NA	NA
gnl.UG.Ssc.S35171984	7	6058750	overdominant	5.09 	17	33059927	33146012
gnl.UG.Ssc.S35164445	6	145451416	dominant	4.58 	NA	NA	NA
gnl.UG.Ssc.S31130866	11	80335658	overdominant	4.56 	NA	NA	NA
gnl.UG.Ssc.S18549761	8	146186633	overdominant	4.51 	5	42892559	42926584
gnl.UG.Ssc.S46877776	10	69214587	dominant	4.90 	NA	NA	NA
gnl.UG.Ssc.S22277030	18	27296714	overdominant	4.85 	NA	NA	NA
gnl.UG.Ssc.S31118985	4	33809902	overdominant	4.48 	NA	NA	NA
gnl.UG.Ssc.S23767099	4	75471802	overdominant	4.85 	15	59535851	59548025
gnl.UG.Ssc.S34500704	2	146230482	overdominant	4.59 	15	72627743	72887032
gnl.UG.Ssc.S35173249	9	67492313	overdominant	4.67 	15	59482758	59487306
MLTL1_0058_H02	4	68629800	overdominant	4.69 	NA	NA	NA
LVRM1_0179_B12	13	3493810	overdominant	4.51 	NA	NA	NA
gnl.UG.Ssc.S39947174	8	68896436	dominant	4.55 	NA	NA	NA
gnl.UG.Ssc.S50198609	9	9183235	overdominant	4.53 	NA	NA	NA
gnl.UG.Ssc.S23695295	10	66386287	overdominant	5.58 	NA	NA	NA
gnl.UG.Ssc.S26720251	16	44390463	overdominant	4.54 	14	24054519	24084125
gnl.UG.Ssc.S38676051	6	156352742	overdominant	4.96 	8	103564272	103581675
gnl.UG.Ssc.S35171967	11	63767066	dominant	4.56 	GL894320.1	16474	39450
gnl.UG.Ssc.S18547694	15	151340792	overdominant	5.26 	15	152921244	153035111
gnl.UG.Ssc.S18378780	18	46983072	overdominant	4.49 	7	73042187	73140678
gnl.UG.Ssc.S25791138	3	119339715	dominant	5.52 	14	82571969	82579806
MLN01_0067_C11	15	2009887	overdominant	4.50 	NA	NA	NA
OVRM1_0054_B01	2	12863556	dominant	4.76 	3	62324603	62354696
gnl.UG.Ssc.S35173377	6	61116514	overdominant	5.37 	13	38462228	38525371
gnl.UG.Ssc.S40102974	13	23032326	overdominant	4.56 	NA	NA	NA
gnl.UG.Ssc.S35172965	1	91906331	overdominant	4.53 	NA	NA	NA
gnl.UG.Ssc.S19542228	14	6529806	overdominant	5.39 	NA	NA	NA
gnl.UG.Ssc.S19538640	13	148629007	overdominant	4.55 	NA	NA	NA
gnl.UG.Ssc.S35164597	7	57940346	overdominant	4.95 	2	140866277	140911654
gnl.UG.Ssc.S23757544	4	148835	overdominant	5.09 	NA	NA	NA
gnl.UG.Ssc.S18546468	3	89647365	dominant	4.81 	NA	NA	NA
gnl.UG.Ssc.S34498339	10	77837652	partial-dominant	9.22 	NA	NA	NA
gnl.UG.Ssc.S31113052	5	105735885	overdominant	4.55 	17	5868843	5945482
gnl.UG.Ssc.S31986131	11	78805147	dominant	4.65 	NA	NA	NA
gnl.UG.Ssc.S35165014	1	146339608	overdominant	4.67 	2	10479528	10492013
gnl.UG.Ssc.S38482497	16	70897917	overdominant	6.22 	6	69396243	69413637
gnl.UG.Ssc.S35172543	2	46542866	overdominant	4.62 	13	27623128	27667302
gnl.UG.Ssc.S24318161	14	41600300	partial-dominant	23.07 	14	41196286	41208970
gnl.UG.Ssc.S50211345	15	139144003	dominant	5.29 	NA	NA	NA
gnl.UG.Ssc.S26715950	13	203201276	overdominant	5.66 	12	16844509	16905553
gnl.UG.Ssc.S46876782	16	11829012	overdominant	4.49 	14	81767398	81786195
gnl.UG.Ssc.S43678667	4	84160829	dominant	4.78 	6	44980555	44989676
gnl.UG.Ssc.S26735079	14	2421749	overdominant	4.73 	NA	NA	NA
gnl.UG.Ssc.S35165031	6	5384951	dominant	4.83 	15	87284185	87377986
gnl.UG.Ssc.S31105561	2	6254385	overdominant	4.60 	NA	NA	NA
OVR01_0035_F11	17	53732878	overdominant	4.71 	NA	NA	NA
ADR01_0046_G06	6	93709175	overdominant	5.61 	2	147857842	147953421
gnl.UG.Ssc.S18354874	15	51905499	dominant	4.57 	9	29688042	29799302
gnl.UG.Ssc.S18383469	8	122365670	dominant	5.53 	NA	NA	NA
gnl.UG.Ssc.S35172028	3	2391386	overdominant	4.65 	NA	NA	NA
gnl.UG.Ssc.S26725722	1	107825932	overdominant	4.54 	NA	NA	NA
gnl.UG.Ssc.S16512257	13	3271618	overdominant	4.69 	NA	NA	NA
TCH01_0046_B03	7	103101452	dominant	4.50 	1	212633409	212644737
gnl.UG.Ssc.S23213291	2	150137389	overdominant	4.68 	3	83760113	83777463
gnl.UG.Ssc.S46876597	1	168247889	overdominant	4.53 	14	49367968	49371139
gnl.UG.Ssc.S6091781	17	68357458	overdominant	4.84 	2	106934106	107128389
gnl.UG.Ssc.S40370294	8	129447266	overdominant	4.50 	12	21016053	21046516
gnl.UG.Ssc.S40184013	1	76189831	partial-dominant	5.32 	13	167720863	167906839
gnl.UG.Ssc.S29980585	9	147574696	overdominant	4.67 	13	82277381	82283664
ADR01_0100_A11	4	76985054	overdominant	4.59 	NA	NA	NA
gnl.UG.Ssc.S35171758	6	114005432	overdominant	4.59 	6	75801838	75853525
MLTL1_0015_H07	15	22394509	dominant	4.76 	4	116057655	116080925
gnl.UG.Ssc.S35164290	10	59920758	overdominant	4.99 	15	144908676	144973706
gnl.UG.Ssc.S35173028	13	148090109	overdominant	4.68 	NA	NA	NA
gnl.UG.Ssc.S35170561	9	61532685	overdominant	4.53 	JH118558.1	22943	34814
gnl.UG.Ssc.S23692837	1	289943447	dominant	5.91 	NA	NA	NA
gnl.UG.Ssc.S20116409	8	144231317	overdominant	4.63 	9	108068516	108551541
BKFL1_0120_G04	5	47449192	partial-dominant	39.53 	NA	NA	NA
gnl.UG.Ssc.S35167822	16	18536184	overdominant	4.62 	13	44121614	44127858
gnl.UG.Ssc.S43001573	4	6007874	overdominant	5.26 	8	129743691	129745568
gnl.UG.Ssc.S40473967	12	45275338	dominant	6.30 	NA	NA	NA
gnl.UG.Ssc.S46879920	8	146042078	overdominant	4.69 	4	107666299	107691564
gnl.UG.Ssc.S35166750	11	66764035	overdominant	4.81 	13	37657827	37667061
gnl.UG.Ssc.S6041853	6	5398334	overdominant	5.16 	NA	NA	NA
SKNB1_0092_F05	18	40784060	dominant	4.88 	13	29168963	29181610
gnl.UG.Ssc.S26725272	14	9374850	dominant	4.71 	NA	NA	NA
PTG01_0076_C10	17	61860123	overdominant	4.92 	NA	NA	NA
AMP01_0006_E05	2	124984106	overdominant	4.54 	NA	NA	NA
gnl.UG.Ssc.S35172574	9	153224139	overdominant	5.14 	NA	NA	NA
gnl.UG.Ssc.S40057653	11	79256053	overdominant	4.62 	2	61727577	61729149
gnl.UG.Ssc.S22290406	2	1289212	overdominant	4.99 	1	144958165	145011135
gnl.UG.Ssc.S39863250	1	305975679	overdominant	4.84 	4	96992135	97026507
gnl.UG.Ssc.S35166599	12	20565887	dominant	5.96 	8	127191818	127203830
gnl.UG.Ssc.S46879628	4	117383463	overdominant	5.29 	4	97136072	97145070
gnl.UG.Ssc.S40101141	4	68902817	overdominant	4.51 	NA	NA	NA
gnl.UG.Ssc.S35169137	5	67485704	overdominant	4.72 	NA	NA	NA
gnl.UG.Ssc.S26724103	1	7836573	overdominant	4.60 	NA	NA	NA
gnl.UG.Ssc.S6081724	16	1281720	overdominant	5.46 	7	118594314	118614339
gnl.UG.Ssc.S18359852	15	14270957	overdominant	4.79 	GL893609.2	38037	77973
gnl.UG.Ssc.S17511406	1	8886894	overdominant	4.78 	NA	NA	NA
gnl.UG.Ssc.S40209535	7	41433961	dominant	4.82 	8	142148085	142647169
gnl.UG.Ssc.S35164888	8	34674750	overdominant	4.88 	NA	NA	NA
gnl.UG.Ssc.S18381418	10	20559714	overdominant	5.34 	GL894068.1	686	17751
gnl.UG.Ssc.S35172519	1	256372239	overdominant	4.64 	GL894184.2	30533	31840
OVRM1_0017_A08	1	50500358	overdominant	4.99 	NA	NA	NA
gnl.UG.Ssc.S35167822	1	132371467	overdominant	5.03 	13	44121614	44127858
UTR01_0079_D09	14	27617348	overdominant	4.60 	X	90744039	90757439
gnl.UG.Ssc.S23693357	9	149000274	dominant	4.56 	7	131028040	131033988
gnl.UG.Ssc.S46879115	4	38827175	dominant	5.49 	7	1756548	1766944
gnl.UG.Ssc.S35166571	14	1472832	overdominant	4.57 	NA	NA	NA
gnl.UG.Ssc.S35170231	2	29115937	partial-dominant	36.48 	2	29777110	29788272
gnl.UG.Ssc.S40001852	14	14171141	overdominant	4.72 	3	10936405	10962039
OVR01_0019_H01	2	99751975	overdominant	5.06 	NA	NA	NA
gnl.UG.Ssc.S35165341	1	169829106	overdominant	6.27 	7	40416828	40451199
gnl.UG.Ssc.S35166362	16	22153239	dominant	4.59 	4	103588676	103592945
gnl.UG.Ssc.S46879607	3	118456072	overdominant	4.67 	NA	NA	NA
gnl.UG.Ssc.S39789298	1	248650854	partial-dominant	37.70 	1	248680702	248828200
gnl.UG.Ssc.S23694848	4	116491969	overdominant	4.84 	13	127829131	127884813
gnl.UG.Ssc.S18386796	15	29272584	overdominant	4.56 	NA	NA	NA
gnl.UG.Ssc.S35170303	6	48317509	dominant	5.31 	13	37619537	37624850
gnl.UG.Ssc.S46879631	4	106041535	overdominant	4.54 	4	97117569	97125927
TCH01_0013_E11	7	6425607	overdominant	4.94 	NA	NA	NA
gnl.UG.Ssc.S40440160	4	93446477	dominant	5.42 	NA	NA	NA
gnl.UG.Ssc.S40317580	4	22978568	overdominant	4.60 	NA	NA	NA
gnl.UG.Ssc.S17512116	15	143952007	dominant	5.35 	9	9067975	9068229
gnl.UG.Ssc.S6083035	7	128541986	overdominant	4.54 	13	20309352	20330968
gnl.UG.Ssc.S35166597	3	56074358	overdominant	4.96 	18	1454200	1463301
gnl.UG.Ssc.S23760199	5	10325442	overdominant	5.61 	NA	NA	NA
AMP01_0075_D03	10	69407100	overdominant	4.51 	9	50747515	50757754
gnl.UG.Ssc.S35173583	6	18816384	overdominant	4.78 	14	54221716	54228226
MLN01_0087_F12	3	125777714	overdominant	4.96 	14	46929530	46951795
gnl.UG.Ssc.S23771477	12	11316384	overdominant	4.59 	NA	NA	NA
gnl.UG.Ssc.S26727561	6	112145712	overdominant	4.94 	NA	NA	NA
gnl.UG.Ssc.S35174217	10	13367284	additive	69.83 	10	13624315	13636566
gnl.UG.Ssc.S46879625	9	2484354	dominant	4.80 	4	97145766	97150909
gnl.UG.Ssc.S46881117	1	309883952	additive	55.94 	1	310088015	310099565
SMG01_0007_H12	4	138588240	overdominant	4.51 	NA	NA	NA
DCI01_0045_A10	1	187810994	overdominant	4.58 	8	145103791	145136181
gnl.UG.Ssc.S23212868	2	20738037	overdominant	5.53 	7	52928637	52937456
gnl.UG.Ssc.S18277073	16	24604177	overdominant	4.75 	NA	NA	NA
LVRM1_0033_D07	7	27855827	overdominant	4.65 	NA	NA	NA
gnl.UG.Ssc.S19543288	1	101369745	overdominant	4.75 	2	50763080	50825362
gnl.UG.Ssc.S26732995	15	143040920	overdominant	4.82 	NA	NA	NA
gnl.UG.Ssc.S46879983	4	106018138	partial-dominant	26.85 	NA	NA	NA
gnl.UG.Ssc.S23694096	18	50984974	overdominant	4.86 	NA	NA	NA
gnl.UG.Ssc.S35171294	5	65318067	dominant	5.27 	16	23761201	24139970
gnl.UG.Ssc.S35165324	7	28080540	overdominant	4.56 	14	14627025	15060713
gnl.UG.Ssc.S46877542	4	108032246	overdominant	4.55 	13	35820305	35849844
LNG01_0062_G08	15	157329426	overdominant	4.55 	12	44622105	44653020
gnl.UG.Ssc.S19548213	14	1821556	overdominant	4.75 	13	34901696	34906475
PTG01_0106_D10	7	81855552	overdominant	4.82 	13	24019462	24132699
gnl.UG.Ssc.S26647500	8	28825943	overdominant	4.63 	17	47245805	47536983
gnl.UG.Ssc.S50207049	15	93240320	overdominant	5.16 	GL896322.1	21	1374
gnl.UG.Ssc.S39781560	4	117383463	overdominant	4.49 	NA	NA	NA
gnl.UG.Ssc.S18547562	15	233259	overdominant	4.68 	NA	NA	NA
gnl.UG.Ssc.S14890021	1	44851445	overdominant	4.85 	NA	NA	NA
gnl.UG.Ssc.S23695440	13	3493810	overdominant	4.87 	1	118171298	118408874
ITT01_0068_E11	2	83903786	overdominant	4.77 	12	5129871	5208328
gnl.UG.Ssc.S35169137	13	188046	dominant	4.73 	NA	NA	NA
gnl.UG.Ssc.S26723925	6	18227814	overdominant	5.24 	NA	NA	NA
gnl.UG.Ssc.S35165519	10	10424254	overdominant	4.83 	NA	NA	NA
gnl.UG.Ssc.S26728925	9	6859698	overdominant	4.60 	NA	NA	NA
gnl.UG.Ssc.S35167695	1	123968294	dominant	4.56 	GL894763.1	6321	17326
AMP01_0041_D01	2	125342724	partial-dominant	51.90 	2	125144505	125336545
gnl.UG.Ssc.S35164381	12	53907898	dominant	5.15 	JH118620.1	65574	77254
gnl.UG.Ssc.S6033907	11	3698483	overdominant	4.66 	15	146799880	146810669
gnl.UG.Ssc.S39767030	15	77654723	overdominant	5.05 	NA	NA	NA
MLN01_0022_G09	11	4689240	overdominant	4.64 	13	76734151	76739069
gnl.UG.Ssc.S46880800	1	213200772	dominant	6.03 	1	200410387	200424733
gnl.UG.Ssc.S46877654	6	20641134	overdominant	5.28 	13	130341148	130378524
gnl.UG.Ssc.S46880781	10	67065984	overdominant	4.60 	1	202790215	202816051
gnl.UG.Ssc.S35165099	13	202689206	overdominant	4.54 	NA	NA	NA
MLN01_0070_C03	3	71733760	overdominant	4.88 	NA	NA	NA
gnl.UG.Ssc.S6061185	11	42203806	overdominant	4.92 	NA	NA	NA
gnl.UG.Ssc.S23773089	6	89421512	overdominant	5.01 	NA	NA	NA
LNG01_0077_C11	7	105752757	overdominant	4.65 	GL892334.1	10448	23051
ADR01_0010_H10	8	91991327	overdominant	4.91 	X	142283041	142290291
OVRM1_0071_G01	7	36684494	partial-dominant	30.03 	7	37836077	37874570
gnl.UG.Ssc.S50182181	8	92239618	overdominant	4.75 	NA	NA	NA
gnl.UG.Ssc.S18357319	15	42956851	overdominant	4.78 	3	84163385	84182474
gnl.UG.Ssc.S31108601	15	31331828	overdominant	4.55 	NA	NA	NA
gnl.UG.Ssc.S6063777	13	11143448	dominant	4.54 	NA	NA	NA
gnl.UG.Ssc.S46880811	1	196761838	overdominant	4.67 	1	194967612	194997353
gnl.UG.Ssc.S17526074	12	48685158	dominant	5.25 	NA	NA	NA
gnl.UG.Ssc.S47736810	11	66764035	overdominant	4.53 	9	101840273	101871582
ITT01_0075_F02	9	23437153	dominant	4.89 	NA	NA	NA
gnl.UG.Ssc.S18356219	4	137691079	overdominant	5.48 	2	73170003	73180106
gnl.UG.Ssc.S35166666	9	32670608	overdominant	4.52 	NA	NA	NA
PBL01_0083_C12	6	157353343	partial-dominant	78.49 	GL893620.1	46671	51609
gnl.UG.Ssc.S35171181	7	10903372	overdominant	4.96 	NA	NA	NA
gnl.UG.Ssc.S35168041	6	87968836	overdominant	5.66 	NA	NA	NA
gnl.UG.Ssc.S17526734	13	85652093	overdominant	4.95 	17	60735916	61243854
gnl.UG.Ssc.S6076101	16	74498721	overdominant	4.89 	2	53854679	53864526
gnl.UG.Ssc.S23767003	5	65486918	partial-dominant	49.28 	2	75342964	75381642
gnl.UG.Ssc.S34499540	6	134307926	overdominant	4.82 	12	59248381	59274461
gnl.UG.Ssc.S18549475	4	131377049	overdominant	5.66 	3	17840781	17848221
gnl.UG.Ssc.S6062529	8	6906378	overdominant	6.10 	NA	NA	NA
gnl.UG.Ssc.S39854409	1	269076203	dominant	4.73 	NA	NA	NA
gnl.UG.Ssc.S35164284	8	16351230	dominant	6.44 	NA	NA	NA
gnl.UG.Ssc.S37223544	1	106010779	overdominant	4.60 	3	100173612	100213334
gnl.UG.Ssc.S45783732	12	27671259	dominant	4.57 	14	41703682	41793685
gnl.UG.Ssc.S21557447	6	11156136	dominant	4.50 	2	105833579	105861092
gnl.UG.Ssc.S46881290	3	15875182	overdominant	4.88 	NA	NA	NA
gnl.UG.Ssc.S47005759	1	11012998	overdominant	4.91 	3	34686456	34742973
gnl.UG.Ssc.S35171236	6	75688411	partial-dominant	29.92 	NA	NA	NA
gnl.UG.Ssc.S18557416	6	69930291	partial-dominant	27.76 	6	69920824	69928175
gnl.UG.Ssc.S35172607	17	48699117	overdominant	4.56 	NA	NA	NA
gnl.UG.Ssc.S40204945	13	215697149	partial-dominant	44.68 	NA	NA	NA
gnl.UG.Ssc.S17525154	1	68307310	dominant	4.72 	NA	NA	NA
gnl.UG.Ssc.S46879397	14	109802875	overdominant	5.30 	5	18912876	18914228
gnl.UG.Ssc.S35169983	10	69985989	partial-dominant	36.36 	NA	NA	NA
gnl.UG.Ssc.S23776987	7	121513304	overdominant	4.66 	NA	NA	NA
gnl.UG.Ssc.S18546602	13	185855800	overdominant	4.75 	12	20365602	20374639
gnl.UG.Ssc.S35172045	7	93251213	overdominant	4.52 	X	142223245	142227530
gnl.UG.Ssc.S35169209	7	116269044	overdominant	4.98 	17	43030308	43114974
gnl.UG.Ssc.S18555852	17	61600389	overdominant	4.50 	NA	NA	NA
gnl.UG.Ssc.S46880024	12	50565174	dominant	5.62 	4	103281417	103290671
AMP01_0018_F08	3	25724214	overdominant	5.21 	8	108893587	109077862
THY01_0022_C07	1	267159091	overdominant	4.86 	6	40531470	40540525
gnl.UG.Ssc.S5997995	12	33982636	overdominant	4.78 	NA	NA	NA
gnl.UG.Ssc.S34503931	2	152645933	overdominant	5.10 	NA	NA	NA
gnl.UG.Ssc.S40107769	11	8832301	dominant	5.17 	NA	NA	NA
gnl.UG.Ssc.S18357153	5	94054649	dominant	5.68 	NA	NA	NA
gnl.UG.Ssc.S35173617	13	178212365	overdominant	4.53 	NA	NA	NA
SKNB1_0054_B06	2	5486683	overdominant	4.56 	6	74034220	74039692
gnl.UG.Ssc.S46880246	12	7402572	dominant	4.62 	4	15698066	15757625
gnl.UG.Ssc.S35165235	2	153478515	overdominant	4.76 	6	96252981	96260578
gnl.UG.Ssc.S46879791	17	65889005	dominant	4.76 	4	121350389	121368612
gnl.UG.Ssc.S46879932	7	1705011	dominant	4.53 	4	107360080	107372653
gnl.UG.Ssc.S6081938	18	16239563	overdominant	4.81 	NA	NA	NA
gnl.UG.Ssc.S43134853	7	30036530	overdominant	4.96 	2	69631014	69642713
gnl.UG.Ssc.S31117365	8	136113975	overdominant	4.73 	NA	NA	NA
PBL01_0037_E06	5	102979194	overdominant	4.58 	NA	NA	NA
gnl.UG.Ssc.S26652812	1	128743563	dominant	4.66 	11	18412947	18413495
gnl.UG.Ssc.S20116364	13	6951525	dominant	4.53 	NA	NA	NA
gnl.UG.Ssc.S16764719	4	6794751	dominant	5.04 	NA	NA	NA
gnl.UG.Ssc.S42501051	16	2905761	dominant	4.73 	12	41508324	41542495
gnl.UG.Ssc.S39994161	1	190176320	overdominant	4.95 	NA	NA	NA
gnl.UG.Ssc.S23698735	3	11068163	overdominant	4.84 	NA	NA	NA
gnl.UG.Ssc.S35167094	10	30140466	overdominant	4.83 	NA	NA	NA
gnl.UG.Ssc.S35166892	17	53475787	overdominant	4.58 	GL896483.1	1992	2285
AMP01_0054_B04	4	94472003	dominant	4.84 	7	16819884	17481027
gnl.UG.Ssc.S6006894	15	31892635	overdominant	4.69 	NA	NA	NA
gnl.UG.Ssc.S40508283	1	256663431	additive	31.41 	NA	NA	NA
gnl.UG.Ssc.S31124358	16	58150389	dominant	4.51 	NA	NA	NA
gnl.UG.Ssc.S40496270	16	64539317	overdominant	4.51 	NA	NA	NA
gnl.UG.Ssc.S39783831	11	50684341	overdominant	4.88 	NA	NA	NA
ADR01_0028_D01	14	20785870	overdominant	4.55 	1	245489496	245666198
gnl.UG.Ssc.S31123072	18	4997045	overdominant	4.55 	NA	NA	NA
gnl.UG.Ssc.S18377817	1	232259626	overdominant	4.79 	13	19678183	19778925
gnl.UG.Ssc.S23692143	18	19003450	overdominant	4.62 	9	144015801	144049551
gnl.UG.Ssc.S26730256	4	117329189	overdominant	4.57 	NA	NA	NA
gnl.UG.Ssc.S20116789	16	49793324	overdominant	5.37 	GL894574.1	16239	22640
gnl.UG.Ssc.S40160168	16	79552382	overdominant	4.75 	NA	NA	NA
gnl.UG.Ssc.S17526668	10	30660592	overdominant	4.54 	X	101558757	101619401
gnl.UG.Ssc.S26715386	11	53920963	overdominant	4.81 	JH118928.1	116645	139843
gnl.UG.Ssc.S39852013	2	162088043	partial-dominant	45.36 	NA	NA	NA
gnl.UG.Ssc.S20116360	5	15533256	dominant	6.04 	1	286732772	286813962
gnl.UG.Ssc.S18382520	13	37867796	additive	34.00 	NA	NA	NA
gnl.UG.Ssc.S39967395	13	57128230	overdominant	4.63 	1	40459699	40468997
gnl.UG.Ssc.S35173575	11	53081699	dominant	4.71 	13	207205351	207267685
THY01_0046_E12	13	28893435	overdominant	4.53 	NA	NA	NA
gnl.UG.Ssc.S35173712	8	125067070	overdominant	4.57 	10	2543423	2546894
gnl.UG.Ssc.S14900776	6	59653636	dominant	4.73 	NA	NA	NA
gnl.UG.Ssc.S18555032	9	151212813	overdominant	4.61 	2	148109886	148241940
gnl.UG.Ssc.S35171139	14	69033458	overdominant	4.89 	NA	NA	NA
gnl.UG.Ssc.S46880431	4	114607395	overdominant	5.22 	1	92023736	92025046
gnl.UG.Ssc.S23213294	1	276846354	additive	31.12 	1	276767826	276818432
gnl.UG.Ssc.S33389635	3	128201541	dominant	6.27 	GL894240.1	5182	6809
gnl.UG.Ssc.S19549684	2	127687486	overdominant	4.51 	NA	NA	NA
gnl.UG.Ssc.S26723921	7	107522174	overdominant	5.64 	NA	NA	NA
gnl.UG.Ssc.S6058262	11	20902453	overdominant	4.57 	NA	NA	NA
gnl.UG.Ssc.S25134978	6	91117697	partial-dominant	14.94 	NA	NA	NA
gnl.UG.Ssc.S46881003	5	91801107	dominant	5.95 	NA	NA	NA
gnl.UG.Ssc.S19540688	13	199790568	overdominant	4.89 	12	49214934	49240451
gnl.UG.Ssc.S39796106	13	14816133	overdominant	4.57 	NA	NA	NA
gnl.UG.Ssc.S23775512	16	25549329	dominant	6.70 	NA	NA	NA
gnl.UG.Ssc.S39845914	15	13833344	partial-dominant	11.08 	15	8511221	8578458
gnl.UG.Ssc.S40416192	14	124838293	overdominant	4.48 	GL896433.1	8758	17584
gnl.UG.Ssc.S18546170	15	51625843	dominant	4.50 	14	41057257	41091829
gnl.UG.Ssc.S35166906	3	143975041	overdominant	4.58 	NA	NA	NA
gnl.UG.Ssc.S46880427	2	138849177	overdominant	4.76 	NA	NA	NA
gnl.UG.Ssc.S5983468	6	13679250	overdominant	4.97 	5	23674710	23695919
gnl.UG.Ssc.S39886493	4	76796289	overdominant	6.72 	NA	NA	NA
gnl.UG.Ssc.S40166203	1	266974660	overdominant	5.23 	3	59834045	59864868
